   139          Number of colors in the file
 Name                      RGB       R     G     B        C        M        Y        K
black                              0    0    0    0   0.000   0.000   0.000   1.000
red                         16711680  255    0    0   0.000   1.000   1.000   0.000
yellow                      16776960  255  255    0   0.000   0.000   1.000   0.000
green                          32768    0  128    0   1.000   0.000   1.000   0.498
cyan                           65535    0  255  255   1.000   0.000   0.000   0.000
violet                      15631086  238  130  238   0.000   0.454   0.000   0.067
magenta                     16711935  255    0  255   0.000   1.000   0.000   0.000
maroon                       8388608  128    0    0   0.000   1.000   1.000   0.498
dark_red                     9109504  139    0    0   0.000   1.000   1.000   0.455
brown                       10824234  165   42   42   0.000   0.745   0.745   0.353
firebrick                   11674146  178   34   34   0.000   0.809   0.809   0.302
crimson                     14423100  220   20   60   0.000   0.909   0.727   0.137
tomato                      16737095  255   99   71   0.000   0.612   0.722   0.000
coral                       16744272  255  127   80   0.000   0.502   0.686   0.000
indian_red                  13458524  205   92   92   0.000   0.551   0.551   0.196
light_coral                 15761536  240  128  128   0.000   0.467   0.467   0.059
dark_salmon                 15308410  233  150  122   0.000   0.356   0.476   0.086
salmon                      16416882  250  128  114   0.000   0.488   0.544   0.020
light_salmon                16752762  255  160  122   0.000   0.373   0.522   0.000
orange_red                  16729344  255   69    0   0.000   0.729   1.000   0.000
dark_orange                 16747520  255  140    0   0.000   0.451   1.000   0.000
orange                      16753920  255  165    0   0.000   0.353   1.000   0.000
gold                        16766720  255  215    0   0.000   0.157   1.000   0.000
dark_golden_rod             12092939  184  134   11   0.000   0.272   0.940   0.278
golden_rod                  14329120  218  165   32   0.000   0.243   0.853   0.145
pale_golden_rod             15657130  238  232  170   0.000   0.025   0.286   0.067
dark_khaki                  12433259  189  183  107   0.000   0.032   0.434   0.259
khaki                       15787660  240  230  140   0.000   0.042   0.417   0.059
olive                        8421376  128  128    0   0.000   0.000   1.000   0.498
yellow_green                10145074  154  205   50   0.249   0.000   0.756   0.196
dark_olive_green             5597999   85  107   47   0.206   0.000   0.561   0.580
olive_drab                   7048739  107  142   35   0.246   0.000   0.754   0.443
lawn_green                   8190976  124  252    0   0.508   0.000   1.000   0.012
chartreuse                   8388352  127  255    0   0.502   0.000   1.000   0.000
green_yellow                11403055  173  255   47   0.322   0.000   0.816   0.000
dark_green                     25600    0  100    0   1.000   0.000   1.000   0.608
forest_green                 2263842   34  139   34   0.755   0.000   0.755   0.455
lime                           65280    0  255    0   1.000   0.000   1.000   0.000
lime_green                   3329330   50  205   50   0.756   0.000   0.756   0.196
light_green                  9498256  144  238  144   0.395   0.000   0.395   0.067
pale_green                  10025880  152  251  152   0.394   0.000   0.394   0.016
dark_sea_green               9419919  143  188  143   0.239   0.000   0.239   0.263
medium_spring_green            64154    0  250  154   1.000   0.000   0.384   0.020
spring_green                   65407    0  255  127   1.000   0.000   0.502   0.000
sea_green                    3050327   46  139   87   0.669   0.000   0.374   0.455
medium_aqua_marine           6737322  102  205  170   0.502   0.000   0.171   0.196
medium_sea_green             3978097   60  179  113   0.665   0.000   0.369   0.298
light_sea_green              2142890   32  178  170   0.820   0.000   0.045   0.302
dark_slate_gray              3100495   47   79   79   0.405   0.000   0.000   0.690
teal                           32896    0  128  128   1.000   0.000   0.000   0.498
dark_cyan                      35723    0  139  139   1.000   0.000   0.000   0.455
aqua                           65535    0  255  255   1.000   0.000   0.000   0.000
light_cyan                  14745599  224  255  255   0.122   0.000   0.000   0.000
dark_turquoise                 52945    0  206  209   1.000   0.014   0.000   0.180
turquoise                    4251856   64  224  208   0.714   0.000   0.071   0.122
medium_turquoise             4772300   72  209  204   0.656   0.000   0.024   0.180
pale_turquoise              11529966  175  238  238   0.265   0.000   0.000   0.067
aqua_marine                  8388564  127  255  212   0.502   0.000   0.169   0.000
powder_blue                 11591910  176  224  230   0.235   0.026   0.000   0.098
cadet_blue                   6266528   95  158  160   0.406   0.012   0.000   0.373
steel_blue                   4620980   70  130  180   0.611   0.278   0.000   0.294
corn_flower_blue             6591981  100  149  237   0.578   0.371   0.000   0.071
deep_sky_blue                  49151    0  191  255   1.000   0.251   0.000   0.000
dodger_blue                  2003199   30  144  255   0.882   0.435   0.000   0.000
light_blue                  11393254  173  216  230   0.248   0.061   0.000   0.098
sky_blue                     8900331  135  206  235   0.426   0.123   0.000   0.078
light_sky_blue               8900346  135  206  250   0.460   0.176   0.000   0.020
midnight_blue                1644912   25   25  112   0.777   0.777   0.000   0.561
navy                             128    0    0  128   1.000   1.000   0.000   0.498
dark_blue                        139    0    0  139   1.000   1.000   0.000   0.455
medium_blue                      205    0    0  205   1.000   1.000   0.000   0.196
blue                             255    0    0  255   1.000   1.000   0.000   0.000
royal_blue                   4286945   65  105  225   0.711   0.533   0.000   0.118
blue_violet                  9055202  138   43  226   0.389   0.810   0.000   0.114
indigo                       4915330   75    0  130   0.423   1.000   0.000   0.490
dark_slate_blue              4734347   72   61  139   0.482   0.561   0.000   0.455
slate_blue                   6970061  106   90  205   0.483   0.561   0.000   0.196
medium_slate_blue            8087790  123  104  238   0.483   0.563   0.000   0.067
medium_purple                9662683  147  112  219   0.329   0.489   0.000   0.141
dark_magenta                 9109643  139    0  139   0.000   1.000   0.000   0.455
dark_violet                  9699539  148    0  211   0.299   1.000   0.000   0.173
dark_orchid                 10040012  153   50  204   0.250   0.755   0.000   0.200
medium_orchid               12211667  186   85  211   0.118   0.597   0.000   0.173
purple                       8388736  128    0  128   0.000   1.000   0.000   0.498
thistle                     14204888  216  191  216   0.000   0.116   0.000   0.153
plum                        14524637  221  160  221   0.000   0.276   0.000   0.133
orchid                      14315734  218  112  214   0.000   0.486   0.018   0.145
medium_violet_red           13047173  199   21  133   0.000   0.894   0.332   0.220
pale_violet_red             14381203  219  112  147   0.000   0.489   0.329   0.141
deep_pink                   16716947  255   20  147   0.000   0.922   0.424   0.000
hot_pink                    16738740  255  105  180   0.000   0.588   0.294   0.000
light_pink                  16758465  255  182  193   0.000   0.286   0.243   0.000
pink                        16761035  255  192  203   0.000   0.247   0.204   0.000
antique_white               16444375  250  235  215   0.000   0.060   0.140   0.020
beige                       16119260  245  245  220   0.000   0.000   0.102   0.039
bisque                      16770244  255  228  196   0.000   0.106   0.231   0.000
blanched_almond             16772045  255  235  205   0.000   0.078   0.196   0.000
wheat                       16113331  245  222  179   0.000   0.094   0.269   0.039
corn_silk                   16775388  255  248  220   0.000   0.027   0.137   0.000
lemon_chiffon               16775885  255  250  205   0.000   0.020   0.196   0.000
light_golden_rod_yellow     16448210  250  250  210   0.000   0.000   0.160   0.020
light_yellow                16777184  255  255  224   0.000   0.000   0.122   0.000
saddle_brown                 9127187  139   69   19   0.000   0.504   0.863   0.455
sienna                      10506797  160   82   45   0.000   0.488   0.719   0.373
chocolate                   13789470  210  105   30   0.000   0.500   0.857   0.176
peru                        13468991  205  133   63   0.000   0.351   0.693   0.196
sandy_brown                 16032864  244  164   96   0.000   0.328   0.607   0.043
burly_wood                  14596231  222  184  135   0.000   0.171   0.392   0.129
tan                         13808780  210  180  140   0.000   0.143   0.333   0.176
rosy_brown                  12357519  188  143  143   0.000   0.239   0.239   0.263
moccasin                    16770229  255  228  181   0.000   0.106   0.290   0.000
navajo_white                16768685  255  222  173   0.000   0.129   0.322   0.000
peach_puff                  16767673  255  218  185   0.000   0.145   0.275   0.000
misty_rose                  16770273  255  228  225   0.000   0.106   0.118   0.000
lavender_blush              16773365  255  240  245   0.000   0.059   0.039   0.000
linen                       16445670  250  240  230   0.000   0.040   0.080   0.020
old_lace                    16643558  253  245  230   0.000   0.032   0.091   0.008
papaya_whip                 16773077  255  239  213   0.000   0.063   0.165   0.000
sea_shell                   16774638  255  245  238   0.000   0.039   0.067   0.000
